"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","226","test_contact_form_is_visible[chromium]","tests","2026-08-12","passed","2026-08-12","","test_contact_form","",""
"","1009","test_navigation_buy_ticket_button_header[chromium]","tests","2026-08-12","passed","2026-08-12","","test_navigation","",""
"","1990","test_navigation_whatsapp_button_header[chromium]","tests","2026-08-12","passed","2026-08-12","","test_navigation","",""
"","888","test_contact_form_empty_with_submit_button[chromium]","tests","2026-08-12","passed","2026-08-12","","test_contact_form","",""
"","322","test_footer_visible[chromium]","tests","2026-08-12","passed","2026-08-12","","test_homepage_visible_elements","",""
"","612","test_whatsapp_link[chromium]","tests","2026-08-12","passed","2026-08-12","","test_links_homepage","",""
"","209","test_homepage_opens[chromium]","tests","2026-08-12","passed","2026-08-12","","test_homepage_visible_elements","",""
"","819","test_header_visible[chromium]","tests","2026-08-12","passed","2026-08-12","","test_homepage_visible_elements","",""
"","742","test_navigation_logo_header[chromium]","tests","2026-08-12","passed","2026-08-12","","test_navigation","",""
"","885","test_navigation_contacts_header[chromium]","tests","2026-08-12","passed","2026-08-12","","test_navigation","",""
"","393","test_buy_ticket_link[chromium]","tests","2026-08-12","passed","2026-08-12","","test_links_homepage","",""
"","3108","test_send_full_valid_data_contact_form[chromium]","tests","2026-08-12","passed","2026-08-12","","test_contact_form","",""
"","222","test_homepage_main_content[chromium]","tests","2026-08-12","passed","2026-08-12","","test_homepage_visible_elements","",""
