"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3569","test_invalid_phone[chromium-+99450ABC1234]","tests","2026-08-13","passed","2026-08-13","","test_contact_form","",""
"","993","test_contact_form_date_picker_choose[chromium-1]","tests","2026-08-13","passed","2026-08-13","","test_contact_form","",""
"","3517","test_invalid_email[chromium-test]","tests","2026-08-13","passed","2026-08-13","","test_contact_form","",""
"","3291","test_valid_email[chromium-test@example.org]","tests","2026-08-13","passed","2026-08-13","","test_contact_form","",""
"","3449","test_invalid_phone[chromium-+99450#123456]","tests","2026-08-13","passed","2026-08-13","","test_contact_form","",""
"","3437","test_valid_name[chromium-\u0410\u043d]","tests","2026-08-13","passed","2026-08-13","","test_contact_form","",""
"","3412","test_valid_name[chromium-\u0418\u0432\u0430\u043d \u041f\u0435\u0442\u0440\u043e\u0432]","tests","2026-08-13","passed","2026-08-13","","test_contact_form","",""
"","3559","test_valid_phone[chromium-+4915123456789]","tests","2026-08-13","passed","2026-08-13","","test_contact_form","",""
"","950","test_contact_form_date_picker_choose[chromium-7]","tests","2026-08-13","passed","2026-08-13","","test_contact_form","",""
"","1604","test_contact_form_date_picker_choose[chromium-150]","tests","2026-08-13","passed","2026-08-13","","test_contact_form","",""
"","3621","test_valid_phone[chromium-+12025550123]","tests","2026-08-13","passed","2026-08-13","","test_contact_form","",""
"","681","test_navigation_video_header[chromium]","tests","2026-08-13","passed","2026-08-13","","test_navigation","",""
"","3474","test_invalid_phone[chromium-+994 50 ABC 12 34]","tests","2026-08-13","passed","2026-08-13","","test_contact_form","",""
"","3421","test_invalid_email[chromium-test@@example.com]","tests","2026-08-13","passed","2026-08-13","","test_contact_form","",""
"","3435","test_invalid_email[chromium-test@.com]","tests","2026-08-13","passed","2026-08-13","","test_contact_form","",""
"","3346","test_valid_name[chromium-BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB]","tests","2026-08-13","passed","2026-08-13","","test_contact_form","",""
"","3512","test_valid_name[chromium-CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC]","tests","2026-08-13","passed","2026-08-13","","test_contact_form","",""
"","3418","test_invalid_email[chromium-@example.com]","tests","2026-08-13","passed","2026-08-13","","test_contact_form","",""
