"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3523","test_valid_phone[chromium-994501234567]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","3347","test_invalid_name[chromium-\u0410]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","3429","test_valid_name[chromium-\u0410\u043d]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","3347","test_invalid_phone[chromium-+99450123ABC]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","3385","test_invalid_email[chromium-test@@example.com]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","3342","test_invalid_email[chromium-te..st@example.com]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","1125","test_contact_form_message_validation[chromium]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","2917","test_valid_phone[chromium-+994551234567]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","2909","test_valid_name[chromium-Jean Pierre-Smith]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","3362","test_valid_name[chromium-AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","411","test_contact_form_required_fields_are_marked[chromium]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","2753","test_invalid_email[chromium-]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","3057","test_invalid_email[chromium-test@example]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","1040","test_contact_form_choose_event_type[chromium-\u041a\u043e\u043d\u0446\u0435\u0440\u0442]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","1643","test_contact_form_date_picker_choose[chromium-150]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","3674","test_invalid_phone[chromium-+99450_123456]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","956","test_contact_form_date_picker_is_opened[chromium]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","3509","test_valid_name[chromium-\u0410\u043b\u0435\u043a\u0441\u0435\u0439 O'Connor]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","3591","test_valid_email[chromium-test@example.org]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","3373","test_valid_name[chromium-BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","3429","test_invalid_phone[chromium-+994 50 ABC 12 34]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","905","test_contact_form_choose_event_type[chromium-\u0427\u0430\u0441\u0442\u043d\u043e\u0435 \u0441\u043e\u0431\u044b\u0442\u0438\u0435]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","3327","test_valid_phone[chromium-+4915123456789]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","1049","test_contact_form_date_picker_choose[chromium-1]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","3376","test_valid_name[chromium-CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","3391","test_valid_name[chromium-Valerii]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","2555","test_valid_name[chromium-O'Connor]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","217","test_contact_date_cannot_be_filled[chromium]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","3566","test_invalid_phone[chromium-+99450#123456]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","3474","test_invalid_phone[chromium-+99450ABC1234]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","3534","test_valid_email[chromium-first.last@example.az]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","3363","test_valid_name[chromium-\u0412\u0430\u043b\u0435\u0440\u0438\u0439]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","3436","test_valid_phone[chromium-+33142345678]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
"","3555","test_valid_name[chromium-\u0418\u0432\u0430\u043d \u041f\u0435\u0442\u0440\u043e\u0432]","tests","2026-08-17","passed","2026-08-17","","test_contact_form","",""
