"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","705","test_navigation_riders_page_footer[chromium]","tests","2026-08-13","passed","2026-08-13","","test_navigation","",""
"","511","test_navigation_contacts_header[chromium]","tests","2026-08-13","passed","2026-08-13","","test_navigation","",""
"","233","test_page_ru_opens[chromium]","tests","2026-08-13","passed","2026-08-13","","test_homepage_visible_elements","",""
"","410","test_phone_link[chromium]","tests","2026-08-13","passed","2026-08-13","","test_links_homepage","",""
"","398","test_footer_visible[chromium]","tests","2026-08-13","passed","2026-08-13","","test_homepage_visible_elements","",""
"","2190","test_navigation_whatsapp_button_header[chromium]","tests","2026-08-13","passed","2026-08-13","","test_navigation","",""
"","1189","test_header_visible[chromium]","tests","2026-08-13","passed","2026-08-13","","test_homepage_visible_elements","",""
"","222","test_repertoire_link[chromium]","tests","2026-08-13","passed","2026-08-13","","test_links_homepage","",""
"","944","test_contact_form_empty_with_submit_button[chromium]","tests","2026-08-13","passed","2026-08-13","","test_contact_form","",""
"","2644","test_send_full_valid_data_contact_form[chromium]","tests","2026-08-13","passed","2026-08-13","","test_contact_form","",""
"","201","test_youtube_link[chromium]","tests","2026-08-13","passed","2026-08-13","","test_links_homepage","",""
"","1859","test_navigation_whatsapp_button_footer[chromium]","tests","2026-08-13","passed","2026-08-13","","test_navigation","",""
"","229","test_page_ru_main_content[chromium]","tests","2026-08-13","passed","2026-08-13","","test_homepage_visible_elements","",""
"","321","test_buy_ticket_link[chromium]","tests","2026-08-13","passed","2026-08-13","","test_links_homepage","",""
"","682","test_navigation_logo_footer[chromium]","tests","2026-08-13","passed","2026-08-13","","test_navigation","",""
"","682","test_navigation_logo_header[chromium]","tests","2026-08-13","passed","2026-08-13","","test_navigation","",""
"","210","test_contact_form_is_visible[chromium]","tests","2026-08-13","passed","2026-08-13","","test_contact_form","",""
"","1027","test_navigation_buy_ticket_button_header[chromium]","tests","2026-08-13","passed","2026-08-13","","test_navigation","",""
"","609","test_whatsapp_link[chromium]","tests","2026-08-13","passed","2026-08-13","","test_links_homepage","",""
